"item_id","session","source_url","extracted_description","summary_10_words","lookup_status"
"554ced8712bdaa5df2537688","ARP","https://majles.marsad.tn/fr/legislation/2014/05","This law establishes exceptional rules for legalizing buildings that real-estate developers constructed in violation of building permits, covering structures authorized through December 31, 2012 (excluding most public-domain land). Article 4 defines ""regularization"" as the procedure that gives legal status to a permit-violating building, via a decision of the local community leader based on a technical committee's opinion, with the final text clarifying regularization can be complete or partial. Article 4 was adopted 113 in favor, 14 against, 1 abstention.","Defines process to legally regularize permit-violating buildings; adopted 113-14-1","found"
"569416d212bdaa5ee3796068","ARP","https://majles.marsad.tn/fr/legislation/vote/712","This is a parliamentary confidence vote on Mohamed Khlil as Minister of Religious Affairs, held as part of a cabinet reshuffle. The vote passed with 142 in favor, 23 against, and 26 abstentions, comfortably exceeding the absolute-majority threshold of 109 votes needed. The marsad page did not include narrative context on the political circumstances of the reshuffle.","Confidence vote confirming Mohamed Khlil as religious affairs minister; passed 142-23-26","found"
"5603199812bdaa20aa5b4907","ARP","https://majles.marsad.tn/fr/legislation/2015/53","This is Tunisia's 2015 supplementary finance law, responding to economic crisis via support for struggling businesses, investment promotion, job creation, and tourism relief for 2015-2017. The bill's article list (1-26) shows articles 24-26 as new additions made during final passage, but no item is distinctly labeled ""Proposition N°10 d'ajout d'article"" on the fetched page, so this specific added-article proposal could not be confirmed against the bill's late additions.","Supplementary 2015 finance law; proposed new article addition (exact content unconfirmed)","partial"
"5ba234a14f24d03ba3d842a2","ARP","https://majles.marsad.tn/fr/legislation/2018/57","This law approves a loan agreement signed June 29, 2018, between Tunisia and the World Bank (IBRD) for EUR413.4 million to finance a budget support program. The bill passed final plenary vote on July 25, 2018 with 143 in favor, 21 against, and 11 abstentions. The page did not separately isolate a ""vote sur le titre"" (vote on the bill's title) section from the overall passage vote.","Approves EUR413.4M World Bank loan for Tunisia's budget support program","partial"
"59b287314f24d0311313bfff","ARP","https://majles.marsad.tn/fr/legislation/2017/27","This organic law amends the 2016 law on the Conseil Superieur de la Magistrature (Supreme Judicial Council), lowering the quorum for council meetings from one-half to one-third of members, setting procedures for interim leadership when vacancies occur, repealing certain prior session-procedure provisions, and setting a deadline for the parliament president to convene the council's first session. This vote is the procedural step to move to an article-by-article vote; the bill overall passed 119 in favor, 2 against, 12 abstentions.","Procedural vote to proceed article-by-article on Supreme Judicial Council amendment law","partial"
"5c9cf4aa4f24d0572feb077c","ARP","https://majles.marsad.tn/fr/legislation/2015/71","This organic budget law sets the rules for preparing, presenting, approving, and executing Tunisia's state budget, and for monitoring and closing accounts. Article 19 defines ""special missions"" as entities with constitutional/independent status receiving dedicated budget allocations outside normal ministries (e.g. Parliament, Supreme Judicial Council, Constitutional Court). Amendment N1 proposed expanding this list to explicitly include judicial, administrative, and financial structures whose organic laws grant them administrative/financial independence. The page did not show whether this amendment passed.","Amendment expanding budget law's special missions category to independent judicial bodies","found"
"5866afa7cf44121f3e63b001","ARP","https://majles.marsad.tn/fr/legislation/2016/71","This is Tunisia's 2017 finance law, authorizing state revenues of 32.275 billion dinars with fiscal, tax, and customs reforms. Article 18 amends VAT rules: it expands exemptions for maritime fishing vessels and their integrated equipment to cover repair/maintenance operations, and it relocates the VAT exemption for student housing to a different schedule with a new condition requiring higher-education ministry approval. The bill passed 122 in favor, 48 against, 2 abstentions, effective January 1, 2017.","2017 finance law amendment revising VAT exemptions for fishing vessels, student housing","found"
"57a31e71cf44122088ceed2c","ARP","https://majles.marsad.tn/fr/legislation/2016/01","This organic law amends the 2014 electoral law covering presidential, legislative, municipal/regional elections and referendums, touching voter registration, campaign finance, candidate eligibility, and dispute resolution. Amendment N3 (creating new article 6 bis) lets military and internal security personnel register to vote in municipal/regional elections while barring them from candidacy in those elections and from campaign or party activity, with dismissal via disciplinary proceedings for violations. It passed 144 in favor, 11 against, 3 abstentions.","Lets security forces vote locally while barring their candidacy; passed 144-11-3","found"
"56030cf312bdaa20aa5b48f4","ARP","https://majles.marsad.tn/fr/legislation/2015/53","From the 2015 supplementary finance law: Article 8 continues permanent hiring tax credits for first-time job seekers holding university degrees or advanced technical qualifications, for hires made between July 2015 and December 2016, and extends related investment-sector employment benefits through December 2016. The amended article passed 136 in favor, 16 against, 3 abstentions.","Extends tax credits for hiring first-time university-graduate job seekers through 2016","found"
"55a1935912bdaa3245ab6f1a","ARP","https://majles.marsad.tn/fr/legislation/2014/69","This single-article bill ratifies a EUR36.3 million loan agreement signed August 19, 2014, between Tunisia and the World Bank (IBRD) to finance the ""third export development project."" Because the bill has only one substantive article, the ""article unique"" vote and the whole-bill passage vote are the same provision. Plenary passage: 105 in favor, 13 against, 7 abstentions (87.55% attendance), after roughly 12 hours of commission work.","Ratifies EUR36.3M World Bank loan for Tunisia's export development project","found"
"5603011b12bdaa20aa5b48e5","ARP","https://majles.marsad.tn/fr/legislation/2015/53","From the 2015 supplementary finance law: Article premier (Article 1) sets supplementary 2015 state revenue authorization at 27.786 billion dinars, broken into first-title resources (19.926bn), second-title resources (7.072bn), and special treasury accounts (787.8 million dinars). It passed 112 in favor, 16 against, 4 abstentions.","Sets supplementary 2015 state revenue target at 27.8 billion dinars","found"
"560024f412bdaa20aa5b47e8","ARP","https://majles.marsad.tn/fr/legislation/2015/16","This organic law establishes Tunisia's Conseil Superieur de la Magistrature (Supreme Judicial Council), covering civil, administrative, and financial justice councils, to safeguard judicial independence. Article 7 addresses the Council's internal governance, requiring the Council to adopt its own internal regulations after consulting the highest administrative court, approved by a two-thirds majority of members. This vote is a ""return"" (re-vote) on the amended article; the full bill passed 131 in favor, 14 against, 8 abstentions.","Sets two-thirds majority rule for judicial council's internal regulations approval","partial"
"55a193a712bdaa3245ab6f1b","ARP","https://majles.marsad.tn/fr/legislation/2014/69","This is the same single-article bill as item 10 above (EUR36.3 million IBRD loan ratification for the third export development project, signed August 19, 2014). Because the bill contains only one substantive article, the ""Projet de loi dans sa totalite"" (whole-bill) vote and the ""Article unique"" vote appear to be near-duplicate votes on the identical provision. Plenary passage: 105 in favor, 13 against, 7 abstentions.","Final passage of the same single-article export-development loan ratification bill","found"
"56a2334912bdaa42423b4dc6","ARP","https://majles.marsad.tn/fr/legislation/2015/58","This is Tunisia's 2016 finance law, authorizing roughly 29.15 billion dinars in revenue/expenditure with fiscal, tax, customs, and social measures. Article 43 targets clandestine/informal economic activity to reinforce fair competition, adding a penalty clause fining any person who fails to file the required business registration declaration between 1,000 and 50,000 dinars. The overall bill passed with strong support: 142 in favor, 0 against, 7 abstentions.","Penalizes unregistered businesses 1,000-50,000 dinars to curb informal economy","found"
"56030fa612bdaa20aa5b48f5","ARP","https://majles.marsad.tn/fr/legislation/2015/53","From the 2015 supplementary finance law: Article 9 exempts fully-exporting companies (operating under complete export regimes) from customs control fees, provided they resume operations before December 31, 2016 and submit documentation confirming the resumption of activity. It passed 132 in favor, 15 against, 4 abstentions.","Exempts resuming export companies from customs control fees through 2016","found"
"Vote sur un amendement n°198 de l'article 64","ANC","https://anc.majles.marsad.tn/fr/constitution/article/64","Article 64 of the constitution enumerates which matters require an ordinary law versus an organic law (e.g. nationality and civil/commercial obligations are ordinary; judiciary organization and the electoral law are organic). The marsad page for this article documents four named amendments (on a tax-delegation clause, adding the organic budget law to the organic-law list, relocating one list item, and a consensus tax-wording clarification), but does not show an amendment specifically labeled ""n°198"" among them, so this exact numbered amendment could not be confirmed.","Numbered amendment to Article 64's list of ordinary/organic legislative categories","partial"
"Vote sur un amendement n°101 de l'article 92","ANC","https://anc.majles.marsad.tn/fr/vote/52d487d912bdaa635b715e89","This amendment proposed adding to Article 92's third paragraph that the President of the Republic chairs meetings of the Council of Ministers ""which he convenes,"" strengthening the President's role in cabinet meetings. It was adopted 83 in favor, 69 against, 10 abstentions, with Congres Pour la Republique and Ettakatol backing it while Mouvement Nahdha voted mostly against.","Lets president convene and chair cabinet meetings; adopted 83-69-10","found"
"Vote sur un amendement n°152 de l'article 51","ANC","https://anc.majles.marsad.tn/fr/constitution/article/51","Article 51 grants the Assembly of the Representatives of the People administrative and financial autonomy within the state budget, lets it set its own internal rules by absolute majority, and requires the state to provide deputies the resources needed for their duties. The marsad page lists four amendments to this article (a rejected clause on deputy duties, a rejected budget-independence clause, a withdrawn resources-wording change, and a withdrawn governance/oversight clause), but none is labeled ""n°152,"" so the exact amendment could not be confirmed.","Numbered amendment concerning parliament's administrative and financial autonomy provisions","partial"
"Article 91 - Amendement relatif à la prise de parole par Rapporteur Général de la Constitution","ANC","https://anc.majles.marsad.tn/fr/vote/5147eb81b197de08259e59d1","This is a procedural amendment to Article 91 of the ANC's internal Rules of Procedure (not the constitution's substantive article 91), concerning the right of the Constitution's General Rapporteur to speak during plenary sessions. Voted March 11, 2013, the amendment passed narrowly with support concentrated in the Mouvement Nahdha bloc and opposition from secular/democratic blocs; the marsad page itself flags a discrepancy between the officially announced result and its recorded vote count (roughly 63-69 for versus 60-67 against, 4 abstaining).","Grants Constitution's chief rapporteur floor speaking rights; passed narrowly","found"
"Vote relatif à la clôture du débat général sur le projet de loi de l'immunisation politique de la révolution","ANC","https://anc.majles.marsad.tn/fr/anc","On June 28, 2013, the ANC voted to close the general debate on the highly controversial ""political immunization of the revolution"" bill, a transitional-justice measure that would have barred former RCD/Ben Ali-era officials from holding public office. Marsad's ANC activity timeline confirms the date and event but no dedicated vote-tally page with for/against counts could be located.","Closed contentious debate on bill banning ex-regime officials from office","partial"
"Vote relatif à l'article 8 (Ancien) du projet de loi de l'instance provisoire de la justice judiciaire","ANC","https://anc.majles.marsad.tn/fr/docs/518e5bfc7ea2c422bec253b7","This bill created a provisional oversight body for the judiciary pending Tunisia's permanent judicial institutions; it was adopted in its entirety on April 24, 2013 with 151 in favor, 0 against, 4 abstentions. A related session chronicle notes that Articles 8 and 9 were examined and adopted together in the same sitting, but the specific text of this ""old""/pre-amendment version of Article 8 could not be recovered from the available marsad pages.","Early provision of law creating interim judicial-oversight body; later revised","partial"
"Vote sur l'article 90 du projet de constitution","ANC","https://anc.majles.marsad.tn/fr/constitution/article/90","Article 90's final adopted text establishes that the Head of Government (Chef du Gouvernement) sets the state's general policy, in accordance with Article 76, and ensures its implementation - a core provision defining executive authority within Tunisia's semi-presidential system. The specific plenary vote tally for this article's adoption was not shown on the available page.","Defines head of government's power to set general state policy","partial"
"Vote sur l'amendement relatif à un ajout à la fin de l'article 25","ANC","","No marsad page specific to this amendment (an addition to the end of Article 25) could be located via search of anc.majles.marsad.tn. Content below relies solely on the original vote title.","Proposed addition to the end of Article 25 (details unavailable)","not_found"
